,case_number,occured_on,neighborhood,hour of day,year,month,motivation,latitude,longitude
174,22019637,2022-05-05 15:15:26,Tierra Santa,15,2022,5,Sexual Orientation,32.823145378600486,-117.10094856965956
175,21011307,2021-03-07 18:57:56,Loma Portal,18,2021,3,Race,32.74373466387868,-117.21151416898148
176,22029024,2022-07-05 20:46:56,Fairmount Village,20,2022,7,Race,32.74405119854647,-117.09887051141928
177,21011861,2021-03-09 09:00:19,Mission Bay Park,9,2021,3,Race,32.77497835025762,-117.2386498582456
178,20063994,2020-12-30 21:17:00,Miramar,21,2020,12,Sexual Orientation,32.89372949305719,-117.13363470240076
179,22004082,2022-01-29 11:45:20,University City,11,2022,1,Race,32.87319215325304,-117.21185915786072
180,23018294,2023-04-30 12:45:00,Mission Bay Park,12,2023,4,Race,32.78837847349845,-117.20786712653717
181,23032383,2023-07-27 11:15:00,Kearney Mesa,11,2023,7,Religion,32.83249436850848,-117.12098506334186
182,22011462,2022-03-16 11:15:38,East Village,11,2022,3,Race,32.71268804508427,-117.14953399946234
183,21023215,2021-05-17 14:10:00,Golden Hill,14,2021,5,Race,32.71280351482098,-117.13023529327543
184,20000531,2020-01-02 21:30:00,North Park,21,2020,1,Sexual Orientation,32.75414080892391,-117.12899707578946
185,21014839,2021-03-27 12:00:00,Mira Mesa,12,2021,3,Race,32.90210564820234,-117.14896935701664
186,21010123,2021-02-28 12:50:00,Pacific Beach,12,2021,2,Race,32.79795627182967,-117.25591235128886
187,22026448,2022-06-18 11:55:00,Hillcrest,11,2022,6,Race/Gender,32.7470134048488,-117.16049063592853
188,23038096,2023-09-02 21:45:00,La Jolla,21,2023,9,Gender,32.84755679910872,-117.27480210427407
189,23039469,2023-09-06 18:49:00,Serra Mesa,18,2023,9,Sexual Orientation,32.80501549956991,-117.1428792828414
190,23039774,2023-09-13 16:34:32,Bay Park,16,2023,9,Sexual Orientation,32.78933415863593,-117.20362799146496
191,23040798,2023-09-20 17:00:00,Fox Canyon,17,2023,9,Race,32.74721058103852,-117.08802676760816
192,23040810,2023-09-01 23:00:00,Fox Canyon,23,2023,9,Religion,32.74721058103852,-117.08802676760816
193,23042029,2023-09-29 18:20:43,East Village,18,2023,9,Sexual Orientation,32.710254430503895,-117.15166336003342
194,23042200,2023-07-15 00:01:00,Tierra Santa,0,2023,9,Sexual Orientation,32.82301773448928,-117.09617497095492
195,23042249,2023-10-01 09:15:30,Park West,9,2023,10,Sexual Orientation,,
196,23042249,2023-10-01 09:15:30,Park West,9,2023,10,Sexual Orientation,,
197,23042249,2023-10-01 09:15:30,Park West,9,2023,10,Sexual Orientation,,
198,23042249,2023-10-01 09:15:30,Park West,9,2023,10,Sexual Orientation,,
199,23042249,2023-10-01 09:15:30,Park West,9,2023,10,Sexual Orientation,,
200,23042540,2023-09-06 07:26:00,Hillcrest,7,2023,10,Race,32.74651352578112,-117.15337388501472
201,23043192,2023-10-08 00:45:00,Midway District,0,2023,10,Race,32.75038839848865,-117.20750133352205
202,23043395,2023-10-07 09:35:00,Hillcrest,9,2023,10,Religion,32.74910107990445,-117.15343142111372
203,23043453,2023-10-09 18:52:09,Jamacha/Lomita,18,2023,10,Race,32.70746781312708,-117.0267517403858
204,23043482,2023-10-09 23:40:00,Mission Valley West,23,2023,10,Race,,
205,23616068,2023-10-13 20:02:00,Skyline,20,2023,10,Race,32.7040185404124,-117.04021189197448
206,23044239,2023-10-14 22:37:19,Pacific Beach,22,2023,10,Sexual Orientation,32.80254998852977,-117.25141187445314
207,23044329,2023-10-15 17:12:59,Hillcrest,17,2023,10,Sexual Orientation,32.74851979097933,-117.14927881316802
208,23044329,2023-10-15 17:12:59,Hillcrest,17,2023,10,Sexual Orientation,32.74851979097933,-117.14927881316802
209,23044329,2023-10-15 17:12:59,Hillcrest,17,2023,10,Sexual Orientation,32.74851979097933,-117.14927881316802
